Chromosome,Start,End,Name
chr1,105084635,105085335,NegativeControl-AR_motif_1261
chr1,25745005,25745705,NegativeControl-AR_motif_337
chr1,210697164,210697864,NegativeControl-AR_motif_2145
chr1,167551157,167551857,NegativeControl-AR_motif_1723
chr1,105483234,105483934,NegativeControl-AR_motif_1265
chr1,231416586,231417286,NegativeControl-AR_motif_2373
chr1,144831146,144831846,NegativeControl-AR_motif_1467
chr1,22053527,22054227,NegativeControl-AR_motif_282
chr1,85134358,85135058,NegativeControl-AR_motif_1051
chr1,242553724,242554424,NegativeControl-AR_motif_2489
chr1,157639029,157639729,NegativeControl-AR_motif_1623
chr1,115306252,115306952,NegativeControl-AR_motif_1386
chr1,68690931,68691631,NegativeControl-AR_motif_882
chr1,9041825,9042525,NegativeControl-AR_motif_123
chr1,1630174,1630874,NegativeControl-AR_motif_21
chr1,29364886,29365586,NegativeControl-AR_motif_382
chr1,110672111,110672811,NegativeControl-AR_motif_1323
chr1,148223602,148224302,NegativeControl-AR_motif_1518
chr1,21748086,21748786,NegativeControl-AR_motif_278
chr1,31575325,31576025,NegativeControl-AR_motif_409
chr1,189774032,189774732,NegativeControl-AR_motif_1930
chr1,77088307,77089007,NegativeControl-AR_motif_961
chr1,112977902,112978602,NegativeControl-AR_motif_1360
chr1,34417616,34418316,NegativeControl-AR_motif_445
chr1,213110347,213111047,NegativeControl-AR_motif_2173
chr1,11791954,11792654,NegativeControl-AR_motif_159
chr1,14053044,14053744,NegativeControl-AR_motif_175
chr1,5093726,5094426,NegativeControl-AR_motif_74
chr1,61914892,61915592,NegativeControl-AR_motif_787
chr1,81943314,81944014,NegativeControl-AR_motif_1013
chr1,12920008,12920708,NegativeControl-AR_motif_169
chr1,67332905,67333605,NegativeControl-AR_motif_854
chr1,195621889,195622589,NegativeControl-AR_motif_1982
chr1,108054429,108055129,NegativeControl-AR_motif_1289
chr1,3153972,3154672,NegativeControl-AR_motif_46
chr1,227107436,227108136,NegativeControl-AR_motif_2320
chr1,68534644,68535344,NegativeControl-AR_motif_878
chr1,104210476,104211176,NegativeControl-AR_motif_1250
chr1,102989800,102990500,NegativeControl-AR_motif_1235
chr1,241585395,241586095,NegativeControl-AR_motif_2479
chr1,213021162,213021862,NegativeControl-AR_motif_2172
chr1,159796203,159796903,NegativeControl-AR_motif_1641
chr1,154882070,154882770,NegativeControl-AR_motif_1587
chr1,222679622,222680322,NegativeControl-AR_motif_2273
chr1,241799254,241799954,NegativeControl-AR_motif_2481
chr1,53761335,53762035,NegativeControl-AR_motif_670
chr1,24431495,24432195,NegativeControl-AR_motif_317
chr1,109251783,109252483,NegativeControl-AR_motif_1300
chr1,171561543,171562243,NegativeControl-AR_motif_1760
chr1,145436370,145437070,NegativeControl-AR_motif_1478
chr1,167050620,167051320,NegativeControl-AR_motif_1719
chr1,162622106,162622806,NegativeControl-AR_motif_1665
chr1,90820609,90821309,NegativeControl-AR_motif_1112
chr1,237165497,237166197,NegativeControl-AR_motif_2437
chr1,14260400,14261100,NegativeControl-AR_motif_178
chr1,95142188,95142888,NegativeControl-AR_motif_1160
chr1,100592227,100592927,NegativeControl-AR_motif_1219
chr1,40439961,40440661,NegativeControl-AR_motif_517
chr1,181097303,181098003,NegativeControl-AR_motif_1850
chr1,180520016,180520716,NegativeControl-AR_motif_1845
chr1,62346098,62346798,NegativeControl-AR_motif_792
chr1,165035125,165035825,NegativeControl-AR_motif_1691
chr1,78706458,78707158,NegativeControl-AR_motif_981
chr1,38519788,38520488,NegativeControl-AR_motif_492
chr1,189217203,189217903,NegativeControl-AR_motif_1925
chr1,217207796,217208496,NegativeControl-AR_motif_2224
chr1,2360934,2361634,NegativeControl-AR_motif_32
chr1,212161667,212162367,NegativeControl-AR_motif_2164
chr1,194443493,194444193,NegativeControl-AR_motif_1969
chr1,193423475,193424175,NegativeControl-AR_motif_1959
chr1,16381167,16381867,NegativeControl-AR_motif_201
chr1,178830148,178830848,NegativeControl-AR_motif_1824
chr1,92028828,92029528,NegativeControl-AR_motif_1132
